Phrase,Départ,Arrivée
"montrer les trains de Gargan à Valdahon Camp Militaire entre 18h et 20h le vendredi","Gargan","Valdahon Camp Militaire"
"quels trains sont disponibles de Montbard à Saint-Romain-le-Puy jeudi matin","Montbard","Saint-Romain-le-Puy"
"j'ai besoin d'un train demain de Saint-Jodard à Champigny sur Yonne","Saint-Jodard","Champigny"
"montre-moi les trains de Montlouis-sur-Loire à Maroeuil jeudi","Montlouis-sur-Loire","Maroeuil"
"tous les trains de Nanteuil-le-Haudouin à Vigneux-sur-Seine","Nanteuil-le-Haudouin","Vigneux-sur-Seine"
"montre-moi les trains de Villeneuve-sur-Yonne à Bougival","Villeneuve-sur-Yonne","Bougival"
"montre-moi les trains de Neufchâteau à Graffenwald en passant par Bollwiller","Neufchâteau","Graffenwald"
"quel est le train le moins cher de Beslé à Boulouris sur Mer","Beslé","Boulouris"
"tous les trains de Annemasse à Mailly-la-Ville partent après 18h00 et avant 19h00","Annemasse","Mailly-la-Ville"
"J'ai besoin d'informations sur les trains pour mardi au départ de Perpignan pour Ussel","Perpignan","Ussel"
"s'il vous plaît donnez-moi les trains de Vierzon-Forges à Houdan le jeudi de la semaine prochaine","Vierzon-Forges","Houdan"
"J'aimerais voyager de Belvezet à Villiers-Neauphle-Pontchartrain avec la SNCF","Belvezet","Villiers-Neauphle-Pontchartrain"
"montre-moi les trains de Louvres à St-Vincent-le-Château","Louvres","St-Vincent-le-Château"
"veuillez lister tous les trains de première classe de La Rivière-Drugeon à Menars","La Rivière-Drugeon","Menars"
"j'aimerais réserver un train d'Ablon-sur-Seine à Lardenne","Ablon-sur-Seine","Lardenne"
"montrez-moi tous les trains de Condat-le-Lardin à Gilly-sur-Loire le mercredi de la semaine prochaine","Condat-le-Lardin","Gilly-sur-Loire"
"J'ai également besoin d'un train de Stephansfeld à Freinville Sevran pour arriver à midi.","Stephansfeld","Freinville Sevran"
"veuillez trouver un train sur Surdon à La Suze-sur-Sarthe et donnez-moi les numéros de train","Surdon","La Suze-sur-Sarthe"
"j'ai besoin d'un train de Tullins-Fures à Villabé","Tullins-Fures","Villabé"
"quels sont les trains de Saint-Louis à Burbank dimanche soir","Saint-Louis","Burbank"
"j'aimerais organiser un train de Frynaudour à Ur-les-Escaldes","Frynaudour","Ur-les-Escaldes"
"Teillé Vif","Teillé","Vif"
"Saint-Lô Tassin","Saint-Lô","Tassin"
"La Gorp à Nexon","La Gorp","Nexon"
"montrez-moi tous les trains de Montpaon à Cravant-Bazarnes qui valent la peine d'être directs ou avec correspondance","Montpaon","Cravant-Bazarnes"
"j'ai besoin d'un train à Vic-Mireval en partant de Vichy","Vic-Mireval","Vichy"
"trains de Fréjus à Cleveland","Fréjus","Cleveland"
"quels trains partent de Folligny à Aubrives après 18 heures mardi prochain","Folligny","Aubrives"
"j'aimerais connaître le trajet le plus court entre Villepinte et Aiserey","Villepinte","Aiserey"
"J'aimerais voir des informations sur les trains en provenance de Mulhouse partant après midi vers Albi lundi.","Mulhouse","Albi"
"J'aimerais faire une réservation pour un train pour Pont-Remy depuis Montélimar dimanche prochain.","Montélimar","Pont-Remy"
"montre-moi les trains de Nieppe à Chépy-Valines mercredi","Nieppe","Chépy-Valines"
"montre-moi les trains de Saint-Germain-du-Puy à Pontmort","Saint-Germain-du-Puy","Pontmort"
"s'il vous plaît, donnez-moi les trains de La Défense à Auray DC.","La Défense","Auray DC"
"j'ai besoin d'informations de Gien à Libercourt","Gien","Libercourt"
"quel est le premier train de Agay à Heiligenberg-Mollkirch qui sert une collation","Agay","Heiligenberg"
"donne-moi les trains quittant Conches-en-Ouche le 9 août pour revenir à Montauban-de-Bretagne","Conches-en-Ouche","Montauban-de-Bretagne"
"quels trains voyagent de Saint-Chamas à Le Quesnoy le lundi mardi mercredi jeudi et vendredi","Saint-Chamas","Le Quesnoy"
"Je veux trouver le premier train de Staffelfelden à Morteau qui sert un repas","Staffelfelden","Morteau"
"afficher tous les trains de Les Flachères à Pouilly-sur-Loire le 29 juillet","Les Flachères","Pouilly-sur-Loire"
"Je veux voyager de Nanterre Université à Tergnier tôt le matin, premier train","Nanterre Université","Tergnier"
"J'ai maintenant besoin d'un train de San José à Latour-de-Carol-Enveitg qui part le dimanche 4","San José","Latour-de-Carol-Enveitg"
"quels trains partent de Sainte-Marthe en Provence vendredi et arrivent à Tullins-Fures avant 20 heures","Sainte-Marthe en Provence","Tullins-Fures"
"montre-moi les trains de Poix-Terron à Lardy","Poix-Terron","Lardy"
"liste des trains de Delta Airlines de Champlan à Philadelphie","Champlan","Philadelphie"
"quels trains sans correspondance entre Saint-Saturnin-lès-Avignon et Saubusse arrivent après 16 heures","Saint-Saturnin-lès-Avignon","Saubusse"
"dans le premier train de Châtel-Censoir à Aubazines-Saint-Hilaire, un repas est servi","Châtel-Censoir","Aubazines-Saint-Hilaire"
"quels trains de Cugand à Nogent-le-Rotrou arrivent avant 8 heures du matin","Cugand","Nogent-le-Rotrou"
"trouve-moi le premier train de Faubourg d'Orléans à Ygos-Saint-Saturnin","Faubourg d'Orléans","Ygos-Saint-Saturnin"
"lister les trains sans correspondance de La Brillanne-Oraison à Kruth qui arrivent avant minuit","La Brillanne-Oraison","Kruth"
"montre-moi les trains de Chemillé-en-Anjou à Latour-de-Carol-Enveitg","Chemillé-en-Anjou","Latour-de-Carol"
"montre-moi les trains pour Saint-Avold depuis Xertigny et s'arrêtant à Boucoiran-et-Nozières","Xertigny","Saint-Avold"
"montre-moi les trains de Clermont-Ferrand à Triel-sur-Seine","Clermont-Ferrand","Triel-sur-Seine"
"J'aimerais qu'un train de Vendôme-Villiers-sur-Loir TGV à Phoenix s'arrête à Cincinnati","Vendôme-Villiers-sur-Loir TGV","Phoenix"
"montre-moi aussi les trains de Lannemezan à Yerres mardi","Lannemezan","Yerres"
"montrer les trains de Lyon Saint-Exupéry TGV à Waligator Parc","Lyon Saint-Exupéry TGV","Waligator Parc"
"montre-moi tous les trains de Fleurieux-sur-l'Arbresle à Valence","Fleurieux-sur-l'Arbresle","Valence"
"trouve-moi un train sur United de Pompadour à Gièvres avec une correspondance à Saint-Agne","Pompadour","Gièvres"
"quels trains partent de La Garenne-Colombes à Mullerhof après 17 heures","La Garenne-Colombes","Mullerhof"
"quels sont tous les trains de La Garde à Epfig","La Garde","Epfig"
"quel est le premier train au départ de Ambazac et arrivant à Clerval le 9 novembre","Ambazac","Clerval"
"quel est le premier train voyageant de Montérolier-Buchy à Paris Saint-Lazare le 5 juillet","Montérolier-Buchy","Paris Saint-Lazare"
"Veuillez indiquer les trains disponibles pour samedi prochain de Philadelphie à Cubzac-les-Ponts.","Philadelphie","Cubzac-les-Ponts"
"quels trains quittent Sallaumines et arrivent à Marquillies après 17 heures jeudi","Sallaumines","Marquillies"
"j'aimerais savoir quels trains il y a le vendredi en provenance de Pagny-sur-Moselle à Ossès-Saint-Martin-d'Arrossa, merci","Pagny-sur-Moselle","Ossès-Saint-Martin-d'Arrossa"
"tous les trains de L'Aiguille à Mâcon DC le 10 novembre","L'Aiguille","Mâcon DC"
"quels sont les trains de Breil-sur-Roya à Aurec-sur-Loire","Breil-sur-Roya","Aurec-sur-Loire"
"quel train est un aller simple à 329 euros de Mont-Dauphin-Guillestre à Lyon Part Dieu","Mont-Dauphin-Guillestre","Lyon Part Dieu"
"quels trains partent de Mulhouse Musées pour Château-l'Évêque après 18 heures vendredi","Mulhouse Musées","Château-l'Évêque"
"je voudrais des informations sur les trains qui partent de Notre-Dame de Briançon vers Paris Austerlitz","Notre-Dame de Briançon","Paris Austerlitz"
"montre-moi le dernier train sans correspondance de La Brigue à Saincaize-Meauce DC","La Brigue","Saincaize-Meauce DC"
"quels sont les trains de Ancenis à Sainte-Marthe en Provence","Ancenis","Sainte-Marthe"
"non, je veux aller de Chinon à Paimpol","Chinon","Paimpol"
"J'aimerais connaître les trains disponibles de Farébersviller à Belloy-Saint-Martin arrivant à Belloy-Saint-Martin avant 8 heures mercredi matin.","Farébersviller","Belloy"
"J'aimerais voyager au tarif le moins cher disponible de Thieux-Nantouillet à Ormoy-Villers le mercredi matin","Thieux-Nantouillet","Ormoy-Villers"
"lister le train de Onville à Gien","Onville","Gien"
"quel est le premier train d'Onzain-Chaumont-sur-Loire à Courcelles-le-Comte le jeudi 5 septembre qui part après 8 heures du matin","Onzain-Chaumont-sur-Loire","Courcelles-le-Comte"
"train de Obermodern-Zutzendorf à Muret arrivant avant 16 heures le samedi","Obermodern-Zutzendorf","Muret"
"liste des trains demain de Val d'Argenteuil à Nançois-Tronville","Val d'Argenteuil","Nançois-Tronville"
"montre-moi tous les trains de Saint-Gilles-Croix-de-Vie à Najac","Saint-Gilles-Croix-de-Vie","Najac"
"montre-moi tous les trains de Bretagne qui partent à Quimperlé depuis Nantes","Nantes","Quimperlé"
"pouvez-vous lister tous les trains entre Puteaux et Prunay","Puteaux","Prunay"
"lister tous les trains de Clermont-en-Argonne à Philadelphie","Clermont-en-Argonne","Philadelphie"
"trains aller-retour de Barenton-Bugny à Avesnes-sur-Helpe, tarif économique en autocar","Barenton-Bugny","Avesnes-sur-Helpe"
"je veux voyager de Nice Riquier à Bondy et je ne veux pas d'correspondance et j'aimerais voyager uniquement l'après-midi","Nice Riquier","Bondy"
"trains de Frontignan à Poligny entre 10h et 14h","Frontignan","Poligny"
"Commander sur l'application Quillan Val-de-Reuil","Quillan","Val-de-Reuil"
"quels trains y a-t-il sur le delta de Houdan à Vesoul","Houdan","Vesoul"
"quitter Nointel-Mours pour Obermodern-Zutzendorf le dernier train","Nointel-Mours","Obermodern-Zutzendorf"
"Comment puis-je me rendre de l'Aéroport Charles de Gaulle 1 au centre-ville de Rambouillet ?","Aéroport Charles de Gaulle 1","Rambouillet"
"J'ai besoin d'un train de Aillevillers à Albi qui part mercredi et arrive à Albi vers 19 heures.","Aillevillers","Albi"
"Je voudrais des informations sur les trains de Sisteron à Thaon partant jeudi soir.","Sisteron","Thaon"
"J'ai besoin d'un train pas cher de Chantenay à Saint-Junien","Chantenay","Saint-Junien"
"liste des trains sans correspondance tôt mardi matin de Loches à Ars-sur-Moselle","Loches","Ars-sur-Moselle"
"quel est le premier train qui part de Philadelphie à Sainte-Eulalie-Carbon-Blanc","Philadelphie","Sainte-Eulalie"
"montre-moi tous les trains pour Villeneuve-Loubet de Ay après 18 heures","Ay","Villeneuve-Loubet"
"j'ai besoin d'un train aller-retour de Bailleau-le-Pin à Longueau","Bailleau-le-Pin","Longueau"
"Les trains qui s'arrêtent à Lille Flandres avant midi en partant de Marseille Saint-Charles pour partir avec Charles","Marseille Saint-Charles","Lille Flandres"
"quels trains partent de Brandérion à Gièvres après 10 h 24 du matin","Brandérion","Gièvres"
"train du soir le plus court de Tanus à Tarare","Tanus","Tarare"
"Trains de Isles-Armentières-Congis à Durtol-Nohanent","Isles-Armentières-Congis","Durtol-Nohanent"
"J'aimerais voyager avec des compagnies sympa entre Thann et Lezennes à la Bien !","Thann","Lezennes"
"tous les trains de Épinal à Pontarlier aller-retour après midi moins de 100","Épinal","Pontarlier"
"montre-moi les trains dimanche allant de Jarville-la-Malgrange à La Bassée-Violaines en première classe sans correspondance partant après midi","Jarville-la-Malgrange","La Bassée-Violaines"
"des Yvris Noisy-le-Grand à Liesle",","Liesle"
"montre-moi les trains de Prades-Molitg-les-Bains à Les Quatre Roues lundi après-midi","Prades-Molitg-les-Bains","Les Quatre Roues"
"montrez-moi le train avec la plus petite capacité en sièges qui quitte Hombourg-Haut et arrive à La Brohinière le 14 juin","Hombourg-Haut","La Brohinière"
"afficher tous les trains de Goncelin à Le Grand-Lemps le 31 juillet","Goncelin","Le Grand-Lemps"
"y a-t-il des trains avant midi le 15 juin pour Lestelle-de-Saint-Martory de Lons-le-Saunier ?","Lons-le-Saunier","Lestelle-de-Saint-Martory"
"liste des trains quotidiens de Culoz à Luçon","Culoz","Luçon"
"Dans un train de Port-de-Bouc à Maisons-Laffitte qui part avant 8 heures du matin existe-t-il un tel train ?","Port-de-Bouc","Maisons-Laffitte"
"quel est le moyen le plus cher pour me rendre à Saint-Dalmas de Tende de Rodez","Rodez","Saint-Dalmas de Tende"
"veuillez lister tous les trains partant de Saint-Martin du Touch pour Saint-Mathurin-sur-Loire","Saint-Martin du Touch","Saint-Mathurin-sur-Loire"
"j'aimerais voir les trains de Villers-sur-Mer à Macau s'il vous plaît","Villers-sur-Mer","Macau"
"La Rivière de Mansac à Laguépie","La Rivière de Mansac","Laguépie"
"veuillez lister les trains du vendredi après-midi de San José à Les Clairières de Verneuil","San José","Les Clairières de Verneuil"
"montrer le premier train de Tournan-en-Brie à Le Vert de Maisons mercredi","Tournan-en-Brie","Le Vert de Maisons"
"quels trains de Argentan à Le Theil-de-Bretagne vendredi sur American Airlines","Argentan","Le Theil-de-Bretagne"
"montre-moi une liste des trains de Monnerville à Sceaux-Boëssé pour le 30 août","Monnerville","Sceaux-Boëssé"
"montre-moi le train le moins cher de Le Pont-de-Claix à Le Bras de Fer le dimanche après midi","Le Pont-de-Claix","Le Bras de Fer"
"Quels trains y a-t-il de Cormeilles-en-Parisis à Le Dorat ?","Cormeilles-en-Parisis","Le Dorat"
"je veux un train pour La Rivière de Mansac de La Tour-du-Pin qui ait au moins un arrêt","La Tour-du-Pin","La Rivière de Mansac"
"quel train avez-vous de Méry-sur-Oise à Pernes-Camblain le matin du 27 août","Méry-sur-Oise","Pernes"
"quels trains de Vierzy à Fouilloy arrivent avant 20 heures à Fouilloy","Vierzy","Fouilloy"
"montre-moi les trains de Prissé-la-Charrière à Marseille Saint-Charles pour jeudi soir ou vendredi","Prissé-la-Charrière","Marseille Saint-Charles"
"Pourriez-vous me trouver un train de Vélines à Templeuve qui s'arrête à Marquillies","Vélines","Templeuve"
"trains de La Tour-de-Salvagny à La Plaine Stade de France-Saint-Denis-Aubervilliers","La Tour-de-Salvagny","La Plaine Stade de France-Saint-Denis-Aubervilliers"
"Y a-t-il des trains de Bourges à Provenchères-sur-Fave avec des arrêts ?","Bourges","Provenchères-sur-Fave"
"trains de Dambach-la-Ville à Croix-Wasquehal","Dambach-la-Ville","Croix-Wasquehal"
"montre-moi les trains de Crouy-sur-Ourcq à Dambach-la-Ville","Crouy-sur-Ourcq","Dambach-la-Ville"
"de Varilhes à Lamagistère DC le lundi 11 novembre 1991","Varilhes","Lamagistère DC"
"je suis intéressé par un train de Herblay à Pont-de-Veyle","Herblay","Pont-de-Veyle"
"donne-moi des trains de Issé à Provenchères-sur-Fave","Issé","Provenchères-sur-Fave"
"j'ai besoin d'un train ce dimanche de Culmont-Chalindrey à Dardilly Les Mouilles et je préférerais un train du matin","Culmont-Chalindrey","Dardilly Les Mouilles"
"donnez-moi des trains au départ de Dives-sur-Mer Port Guillaume vers Dombasle-sur-Meurthe le samedi et le dimanche","Dives-sur-Mer Port Guillaume","Dombasle-sur-Meurthe"
"Dis moi pour un Die à Dingé","Die","Dingé"
"montre-moi le premier train de Machecoul à Dourdan La Forêt en passant par la forêt","Machecoul","Dourdan La Forêt"
"un Lille Porte de Douai à Douai","Lille Porte de Douai","Douai"
"De Douai à Lille Porte","Douai","Lille Porte de Douai"
"Puis-je avoir une liste des trains de Livron-sur-Drôme à Loriol-sur-Drôme en partant dans la soirée ?","Livron-sur-Drôme","Loriol-sur-Drôme"
"montre-moi tous les trains de bétaille à Bessay-sur-Allier depuis Moulins sur Allier","Moulins sur Allier","Bessay-sur-Allier"
"premiers trains de Saulon à Moult-Argences un jeudi","Saulon","Moult-Argences"
"J'ai besoin d'un train de Argenteuil à Montreuil-sur-Thérain qui part tôt le matin","Argenteuil","Montreuil-sur-Thérain"
"montre-moi les trains de Verrey-sous-Salmaise à Sarcelles-Saint-Brice","Verrey-sous-Salmaise","Sarcelles-Saint-Brice"
"tous les trains de Provins à Moûtiers-Salins-Brides-les-Bains","Provins","Moûtiers-Salins-Brides-les-Bains"
"montre-moi les trains lundi de Philadelphie à Montrabé après 7 heures du matin","Philadelphie","Montrabé"
"montre-moi les trains de Mulhouse à Mulhouse Dornach","Mulhouse","Mulhouse Dornach"
"Je dois aller de Vidauban à Nancy et revenir dans la même journée, trouvez-moi le premier train de Vidauban","Vidauban","Nancy"
"montre-moi les trains aller simple de Nanterre La Folie à Nanterre Université mercredi","Nanterre La Folie","Nanterre Université"
"montre-moi tous les trains de Grandvillars à Les Ramassiers demain qui servent un repas","Grandvillars","Les Ramassiers"
"afficher tous les trains de Saint-Piat à La Garenne-Colombes","Saint-Piat","La Garenne-Colombes"
"je souhaite voyager de Villers-Cotterêts à Chanac veuillez trouver une compagnie aérienne pour moi","Villers-Cotterêts","Chanac"
"quels trains de Neuillé-Pont-Pierre à Neuilly-Porte Maillot s'arrêtent également à Neuilly Porte Maillot RER E","Neuillé-Pont-Pierre","Neuilly-Porte Maillot"
"montre-moi les trains mardi matin de Nevers Le Banlay à Puyoô","Nevers Le Banlay","Puyoô"
"Y a-t-il des trains de Pont du Garigliano-Hôpital Européen Georges Pompidou à Durtol-Nohanent ?","Pont du Garigliano-Hôpital Européen Georges Pompidou","Durtol-Nohanent"
"quel est le moyen le moins cher pour voyager de Philadelphie à Villars-les-Dombes","Philadelphie","Villars-les-Dombes"
"lister tous les trains sans correspondance de Mourmelon-le-Petit à La Grand-Combe avant 17 heures le mardi","Mourmelon-le-Petit","La"
"Petit trajet Pont Petit à Petit Vaux vendredi","Pont Petit","Petit Vaux"
"trouver un train Berlaimont à Oloron-Sainte-Marie qui fait correspondance à Issy Val de Seine","Berlaimont","Oloron-Sainte-Marie"
"trains de Pont-à-Mousson à Remise à Jorelle","Pont-à-Mousson","Remise à Jorelle"
"montre-moi les trains de Landrecies à Rive-de-Gier DC le mercredi","Landrecies","Rive-de-Gier"
"liste de tous les trains de Vis à Marles à Pont-à-Vendin qui arrivent le mercredi après 16 heures","Vis à Marles","Pont-à-Vendin"
"j'aimerais aller de Chalon-sur-Saône à Saint-Gilles Lycée Haut-Rhin à 21 heures samedi soir","Chalon-sur-Saône","Saint-Gilles"
"montre-moi les trains de l'est de Pont de Dore à Pont de Briques","Pont de Dore","Pont de Briques"
"quels trains y a-t-il dimanche de Pont de Bois à Pont de l'Alma","Pont de Bois","Pont de l'Alma"
"Pont-à-Mousson depuis Pont de la Deûle","Pont de la Deûle","Pont-à-Mousson"
"Pont de Sallaumines à Pont de la Deûle","Pont de Sallaumines","Pont de la Deûle"
"y a-t-il un train de Arbanats à Les Sables Blancs","Arbanats","Les Sables Blancs"
"Avez-vous un train l'après-midi partant de Phalempin à Cernay (Haut-Rhin) avec une correspondance à Lesparre-Médoc ?","Phalempin","Cernay"
"montre-moi une liste de trains de Sainte-Bazeille à Pont de Lignon le 22 juillet","Sainte-Bazeille","Pont de Lignon"
"maintenant, j'aimerais que les trains de Saint-Sulpice (Tarn) à Saint-Sulpice-Izon partent entre 16h30 et 17h30","Saint-Sulpice (Tarn)","Saint-Sulpice-Izon"
"Quels trains économiques sont disponibles de Nonancourt à Estressin le 17 décembre","Nonancourt","Estressin"
"je voudrais un train de Sainte-Pazanne à Campagnac-Saint-Geniez","Sainte-Pazanne","Campagnac-Saint-Geniez"
"Quels trains y a-t-il le mercredi soir ou le jeudi matin de Reignac-sur-Indre à Sierck-les-Bains ?","Reignac-sur-Indre","Sierck-les-Bains"
"trouvez-moi un train au départ de Malling arrivée à Ballan-Miré avec correspondance à Théoule-sur-Mer","Malling","Ballan-Miré"
"Quels trains sont disponibles entre Vanves-Malakoff et Brive-la-Gaillarde arrivant à 6h30","Vanves-Malakoff","Brive-la-Gaillarde"
"quel est le train le moins cher de Beauvais à Marseille-en-Beauvaisis","Beauvais","Marseille-en-Beauvaisis"
"quels trains y a-t-il de Béthune à Massy-Palaiseau sur le continent","Béthune","Massy-Palaiseau"
"Quels trains Européen propose-t-il de Pont-de-Buis à Erdre Active mardi","Pont-de-Buis","Erdre Active"
"puis-je voyager de Bedous à Chessy Magalas","Bedous","Chessy Magalas"
"trains de Étaples-Le Touquet à Esvres sur Indre","Étaples-Le Touquet","Esvres sur Indre"
"j'aimerais savoir si vous avez des trains pour Sartrouville depuis Étain","Étain","Sartrouville"
"Eu à Le Mans","Eu","Le Mans"
"je suis intéressé par un train sur Gap d'Issoire","Issoire","Gap"
"quels trains partent d'Istres à Ingrandes-Le Fresne-sur-Loire le soir","Istres","Ingrandes-Le Fresne-sur-Loire"
"cherche un train sans correspondance du dimanche de Jacques-Monod-La Demi-Lieue à Jœuf","Jacques-Monod-La Demi-Lieue","Jœuf"
"lister tous les trains d'Itxassou à L'Abbaye","Itxassou","L'Abbaye"
"j'aimerais voir des trains de Saint-Michel-sur-Orge à La Baule Les Pins","Saint-Michel-sur-Orge","La Baule Les Pins"
"Le train Saint-Omer La Barasse","Saint-Omer","La Barasse"
"Afficher tous les trains de correspondance de Saint-Romain-le-Puy à La Coquille","Saint-Romain-le-Puy","La Coquille"
"lister les trains quotidiens de Vénissieux à La Gouesnière-Cancale-Saint-Méloir-des-Ondes","Vénissieux","La Gouesnière-Cancale-Saint-Méloir-des-Ondes"
"J'ai besoin d'un train de Saint-Médard-sur-Ille à La Loupe à la louche","Saint-Médard-sur-Ille","La Loupe"
"J'aimerais réserver un train de Allassac à Cergy le Haut le premier juin","Allassac","Cergy le Haut"
"montrez-moi tous les trains directs uniquement de Boisseaux à Pont-du-Château qui arrivent avant 10 heures, heure locale","Boisseaux","Pont-du-Château"
"montre-moi la route de Route de Launaguet à La Ricamarie le 16 juin","Launaguet","La Ricamarie"
"lister tous les trains allant de Rambouillet à La Rivière-Drugeon après 6 heures le mercredi et avant 7 heures le jeudi","Rambouillet","La Rivière-Drugeon"
"de Drancy à Fors avec arret détente","Drancy","Fors"
"montre-moi les trains de Franconville-Le Plessis-Bouchard à Francheville","Franconville-Le Plessis-Bouchard","Francheville"
"j'ai besoin d'un train de Tampa à Montréal","Tampa","Montréal"
"qu'est-ce que tu as de Foëcy à Firminy samedi matin","Foëcy","Firminy"
"lister tous les trains pour Saint-Vit à Jouy avec le nombre maximum d'arrêts","Saint-Vit","Jouy"
"quels sont les trains de Corrèze à Vendenheim lundi matin","Corrèze","Vendenheim"
"quel est le train le moins cher de Rouillé à Ebblinghem","Rouillé","Ebblinghem"
"de Remise à Jorelle à Ballancourt-sur-Essonne","Remise à Jorelle","Ballancourt-sur-Essonne"
"Y a-t-il des trains de Lardy à Pauillac s'arrêtant à Chézy-sur-Marne ?","Lardy","Pauillac"
"j'aimerais voyager de Ailly-sur-Somme à Aix-les-Bains le Revard","Ailly-sur-Somme","Aix-les-Bains le Revard"
"quels trains voyagent d'Alençon à Corbeil-Essonnes","Alençon","Corbeil-Essonnes"